,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
10743,25,2,47,2.09,2,198
10744,60,3,53,2.26,2,205
10745,50,1,1,0.05,4,0
10746,227,3,25,1.09,16,111
10748,22,2,6,0.25,1,0
10749,25,2,33,1.41,2,176
10750,50,2,32,1.38,1,0
10751,20,1,29,1.24,1,309
10752,30,1,6,0.26,1,0
10753,35,2,54,2.31,1,87
10754,22,1,1,0.04,1,0
10755,40,3,13,0.58,1,0
10756,42,2,106,4.5,1,330
10757,38,60,1,0.05,2,250
10758,229,3,18,0.83,16,149
10759,45,2,87,3.85,1,21
10760,65,6,44,1.91,1,43
10761,77,2,31,1.53,1,11
10762,20,1,37,1.81,5,282
10763,17,14,1,0.04,1,36
10764,30,5,4,0.24,1,73
10766,65,4,35,1.52,1,210
10767,40,2,15,0.66,1,2
10769,39,7,15,1.74,1,11
10770,55,2,12,0.58,1,175
10771,20,4,12,0.67,2,0
10772,38,4,4,0.21,2,0
10773,38,6,19,0.84,3,107
10774,30,2,14,0.79,1,333
10775,35,1,11,0.48,1,279
10777,30,2,2,0.09,1,0
10778,69,5,9,0.38,1,0
10779,35,2,3,0.34,2,110
10781,90,5,4,0.2,1,0
10784,80,3,1,0.1,1,0
10785,15,3,1,0.04,1,0
10786,36,3,18,0.8,1,14
10788,55,3,14,0.6,1,12
10790,279,4,12,3.83,9,94
10791,24,30,3,0.13,1,42
10792,96,3,14,0.69,1,34
10793,42,1,104,4.49,3,21
10794,24,5,21,0.92,1,320
10795,125,2,109,4.73,8,193
10796,35,7,3,0.13,1,0
10797,33,1,30,1.29,2,144
10798,60,5,15,0.67,1,12
10799,90,3,30,1.33,1,158
10801,75,7,7,0.31,1,9
10803,67,4,6,0.31,1,12
10804,134,2,1,0.05,1,0
10805,35,2,4,0.17,2,0
10807,35,3,17,0.91,2,166
10809,90,7,2,0.09,1,364
10810,79,1,14,0.74,2,2
10811,50,2,1,0.04,1,52
10812,35,1,19,0.89,1,0
10813,16,4,19,0.84,1,0
10815,84,4,26,1.16,1,89
10817,50,2,1,0.04,1,107
10818,30,2,38,3.16,1,20
10819,150,5,1,0.42,1,0
10820,45,2,1,0.05,3,0
10821,62,3,3,0.23,1,0
10822,32,3,50,2.8,3,130
10823,50,2,11,0.79,1,104
10825,60,3,3,0.14,1,0
10826,19,3,1,0.06,1,0
10827,38,4,2,0.09,1,0
10828,51,2,24,1.04,1,0
10830,45,3,6,0.27,1,0
10831,30,1,33,1.43,1,106
10832,35,30,5,0.23,17,300
10834,128,3,3,0.13,1,0
10835,25,2,10,0.45,1,0
10836,60,2,2,0.09,1,0
10838,39,6,5,0.21,1,279
10839,60,3,2,0.09,1,0
10840,30,2,55,2.44,1,26
10842,50,2,14,0.62,1,2
10844,25,3,4,0.17,2,0
10845,30,4,8,0.42,1,0
10846,67,2,15,0.67,2,125
10847,55,5,4,0.18,1,0
10848,54,1,29,1.33,3,313
10849,24,2,8,0.36,3,0
10850,80,1,38,1.72,9,344
10851,80,1,2,0.1,1,0
10852,60,1,46,2.28,9,338
10853,150,3,13,0.59,2,0
10854,8,1,44,1.95,4,0
10855,80,1,7,0.31,9,0
10856,50,1,37,2.04,9,329
10857,80,1,23,1.25,9,323
10858,50,1,48,2.18,9,304
10859,80,1,64,3.08,9,305
10860,60,1,58,2.53,9,335
10861,120,2,13,0.58,2,94
10862,55,5,8,0.5,1,159
10864,25,4,1,0.04,2,0
10867,30,2,60,2.69,1,57
10868,265,1,39,1.81,5,179
10869,20,1,39,1.73,5,270
10870,58,3,26,1.16,3,273
10871,23,14,1,0.04,1,0
10872,60,3,7,0.38,1,0
10873,30,2,3,0.13,1,201
10874,54,4,6,0.3,1,2
10877,50,4,2,0.09,1,0
10879,30,10,9,0.4,3,28
10880,30,60,3,0.21,1,83
10881,18,1,12,0.52,1,0
10883,30,3,6,0.27,1,0
10884,57,2,20,0.94,9,316
10885,72,7,22,1.05,1,81
